"mean_k","filing_year","Ctry_code"
21.4807192909925,2004.01003344482,"Switzerland"
39.763637647145,2004.01003344482,"United States"
38.8344957686314,2004.01003344482,"China"
35.7757027216738,2004.11371237458,"Japan"
25.8191191659801,2004.11371237458,"Germany"
21.5363554751978,2004.11371237458,"Switzerland"
39.9002496768921,2004.11371237458,"United States"
39.2197523007763,2004.11371237458,"China"
35.8662698629212,2004.21739130435,"Japan"
25.9467322943261,2004.21739130435,"Germany"
21.591991659403,2004.21739130435,"Switzerland"
40.0368617066392,2004.21739130435,"United States"
39.6050088329213,2004.21739130435,"China"
35.9568370041685,2004.32107023411,"Japan"
26.0743454226721,2004.32107023411,"Germany"
21.6476278436083,2004.32107023411,"Switzerland"
40.1734737363863,2004.32107023411,"United States"
39.9902653650662,2004.32107023411,"China"
36.0474041454159,2004.42474916388,"Japan"
26.2019585510181,2004.42474916388,"Germany"
21.7032640278136,2004.42474916388,"Switzerland"
40.3100857661335,2004.42474916388,"United States"
40.3755218972111,2004.42474916388,"China"
36.1379712866633,2004.52842809365,"Japan"
26.3295716793641,2004.52842809365,"Germany"
21.7589002120189,2004.52842809365,"Switzerland"
40.4466977958806,2004.52842809365,"United States"
40.7607784293561,2004.52842809365,"China"
36.2285384279106,2004.63210702341,"Japan"
26.4571848077101,2004.63210702341,"Germany"
21.8145363962242,2004.63210702341,"Switzerland"
40.5833098256277,2004.63210702341,"United States"
41.146034961501,2004.63210702341,"China"
36.319105569158,2004.73578595318,"Japan"
26.5847979360561,2004.73578595318,"Germany"
21.8701725804295,2004.73578595318,"Switzerland"
40.7199218553748,2004.73578595318,"United States"
41.5312914936459,2004.73578595318,"China"
36.4096727104054,2004.83946488294,"Japan"
26.7124110644021,2004.83946488294,"Germany"
21.9258087646348,2004.83946488294,"Switzerland"
40.8565338851219,2004.83946488294,"United States"
41.9165480257909,2004.83946488294,"China"
36.5002398516528,2004.94314381271,"Japan"
26.8400241927481,2004.94314381271,"Germany"
21.9814449488401,2004.94314381271,"Switzerland"
40.993145914869,2004.94314381271,"United States"
42.3018045579358,2004.94314381271,"China"
36.5934282519802,2005.04682274247,"Japan"
26.9605487354559,2005.04682274247,"Germany"
22.0465309118775,2005.04682274247,"Switzerland"
41.1439244562212,2005.04682274247,"United States"
42.7188052551744,2005.04682274247,"China"
36.6897996097619,2005.15050167224,"Japan"
27.0724657098886,2005.15050167224,"Germany"
22.123091606354,2005.15050167224,"Switzerland"
41.3119051902367,2005.15050167224,"United States"
43.1743524385983,2005.15050167224,"China"
36.7861709675437,2005.25418060201,"Japan"
27.1843826843214,2005.25418060201,"Germany"
22.1996523008304,2005.25418060201,"Switzerland"
41.4798859242522,2005.25418060201,"United States"
43.6298996220221,2005.25418060201,"China"
36.8825423253255,2005.35785953177,"Japan"
27.2962996587542,2005.35785953177,"Germany"
22.2762129953069,2005.35785953177,"Switzerland"
41.6478666582677,2005.35785953177,"United States"
44.0854468054459,2005.35785953177,"China"
36.9789136831073,2005.46153846154,"Japan"
27.4082166331869,2005.46153846154,"Germany"
22.3527736897833,2005.46153846154,"Switzerland"
41.8158473922832,2005.46153846154,"United States"
44.5409939888697,2005.46153846154,"China"
37.075285040889,2005.5652173913,"Japan"
27.5201336076197,2005.5652173913,"Germany"
22.4293343842598,2005.5652173913,"Switzerland"
41.9838281262986,2005.5652173913,"United States"
44.9965411722936,2005.5652173913,"China"
37.1716563986708,2005.66889632107,"Japan"
27.6320505820525,2005.66889632107,"Germany"
22.5058950787362,2005.66889632107,"Switzerland"
42.1518088603141,2005.66889632107,"United States"
45.4520883557174,2005.66889632107,"China"
37.2680277564526,2005.77257525084,"Japan"
27.7439675564852,2005.77257525084,"Germany"
22.5824557732127,2005.77257525084,"Switzerland"
42.3197895943296,2005.77257525084,"United States"
45.9076355391412,2005.77257525084,"China"
37.3643991142344,2005.8762541806,"Japan"
27.855884530918,2005.8762541806,"Germany"
22.6590164676891,2005.8762541806,"Switzerland"
42.4877703283451,2005.8762541806,"United States"
46.3631827225651,2005.8762541806,"China"
37.4607704720161,2005.97993311037,"Japan"
27.9678015053507,2005.97993311037,"Germany"
22.7355771621655,2005.97993311037,"Switzerland"
42.6557510623606,2005.97993311037,"United States"
46.8187299059889,2005.97993311037,"China"
37.5561059549942,2006.08361204013,"Japan"
28.0673942832339,2006.08361204013,"Germany"
22.7778526569514,2006.08361204013,"Switzerland"
42.8456906443158,2006.08361204013,"United States"
47.1896895967914,2006.08361204013,"China"
37.6511928280194,2006.1872909699,"Japan"
28.1640292539451,2006.1872909699,"Germany"
22.8118997038115,2006.1872909699,"Switzerland"
43.0409003497764,2006.1872909699,"United States"
47.5403482893648,2006.1872909699,"China"
37.7462797010446,2006.29096989967,"Japan"
28.2606642246563,2006.29096989967,"Germany"
22.8459467506716,2006.29096989967,"Switzerland"
43.236110055237,2006.29096989967,"United States"
47.8910069819382,2006.29096989967,"China"
37.8413665740698,2006.39464882943,"Japan"
